consumer,mineral,year,hhi_import,hhi_wgi_import,hhi_import_wt,hhi_wgi_import_wt,n_partners,top_partner,top_partner_share,total_imports_M
Japan,Cobalt,2020,0.33529114951248107,0.05484792870628319,0.34400186129303634,0.056914308257759644,19,FIN,0.5617085124565515,325.983024557
Japan,Cobalt,2021,0.2891495908392065,0.049158635283312636,0.29637547041503376,0.05005424225604107,21,FIN,0.5148823318193132,472.496122575
Japan,Cobalt,2022,0.2616461321388459,0.05209853771085422,0.24764136304008885,0.05034307697950478,20,FIN,0.4825255190785558,599.2864680260001
Japan,Cobalt,2023,0.23354196487580364,0.051882800086265696,0.26394216042136864,0.058496122121677895,19,FIN,0.453336065098852,308.502656709
Japan,Copper,2015,0.15387708092931598,0.050908495770549414,0.22938352020641284,0.07496251676306932,39,CHL,0.32721416434224526,9891.096556
Japan,Copper,2016,0.1277626947648379,0.04452757704225429,0.20744715597760813,0.07096556396410388,37,CHL,0.2753093696665446,9475.321814
Japan,Copper,2017,0.13627604542355903,0.04777146117251245,0.2228534592512309,0.07669152512047354,34,CHL,0.30458941674289064,10939.147437846
Japan,Copper,2018,0.13830152430957054,0.04893748164223956,0.23004016588168572,0.07871826279553579,37,CHL,0.3022300313764579,12403.853781705999
Japan,Copper,2019,0.13952786381816937,0.04929260087922764,0.23225981594115988,0.08542583745227761,35,CHL,0.3003074935788956,10884.64824866
Japan,Copper,2020,0.15366966097980952,0.05624911085253924,0.23246160696991433,0.08987942917464328,33,CHL,0.3205811926633181,11818.019620321002
Japan,Copper,2021,0.1307696660618967,0.049427896482312925,0.18224592813897408,0.07109017897198816,35,CHL,0.2854012501040298,16283.078395652
Japan,Copper,2022,0.10848182780516742,0.04292931513457833,0.15046051794709542,0.06130095859795972,35,CHL,0.23282999724771947,17299.725370402
Japan,Copper,2023,0.11955589188992768,0.047936426940887,0.16344964290943628,0.0676035468842674,33,CHL,0.25846242174047707,14651.719312297
