consumer,mineral,year,partner_iso,trade_value,net_weight,total_imports,total_imports_wt,import_share,import_share_wt
China,Aluminium,2016,ZAF,6239293.0,2750297.526,8442190972.0,12476157332.018,0.0007390608694702245,0.00022044428046300883
China,Aluminium,2017,ARG,54.0,163.0,10141286920.0,73855840937.161,5.3247679930546725e-09,2.20700215354241e-09
China,Aluminium,2017,AUS,1945673515.0,26984888557.0,10141286920.0,73855840937.161,0.19185666773344778,0.365372436554607
China,Aluminium,2017,AUT,617552.0,235000.0,10141286920.0,73855840937.161,6.0894835623090725e-05,3.181874270444579e-06
China,Aluminium,2017,BEL,58918572.0,36266169.47,10141286920.0,73855840937.161,0.005809772710779393,0.0004910399639326626
China,Aluminium,2017,BRA,202453505.0,3296004464.0,10141286920.0,73855840937.161,0.019963295250106188,0.044627539571370535
China,Aluminium,2017,CAN,76678407.0,50571245.554,10141286920.0,73855840937.161,0.00756101346948184,0.0006847291278834357
China,Aluminium,2017,CHL,319029.0,215220.0,10141286920.0,73855840937.161,3.1458433482522944e-05,2.914055236106733e-06
China,Aluminium,2017,CHN,61007364.0,14337228.853,10141286920.0,73855840937.161,0.006015741836441405,0.00019412450892270782
China,Aluminium,2017,COL,1903500.0,1465490.0,10141286920.0,73855840937.161,0.0001876980717551772,1.9842574147207768e-05
China,Aluminium,2017,CZE,224.0,33.0,10141286920.0,73855840937.161,2.2087926489708272e-08,4.4681638691349405e-10
China,Aluminium,2017,DEU,246718950.0,87072852.211,10141286920.0,73855840937.161,0.024328169782223262,0.0011789568855506563
China,Aluminium,2017,ESP,20623.0,3535.0,10141286920.0,73855840937.161,2.033568339273454e-06,4.786351296179398e-08
China,Aluminium,2017,FIN,1575615.0,1416018.276,10141286920.0,73855840937.161,0.0001553663763217933,1.9172732420781663e-05
China,Aluminium,2017,FRA,52610357.0,33720389.019,10141286920.0,73855840937.161,0.005187739723273701,0.00045657037535718305
China,Aluminium,2017,GBR,233390287.0,153543475.721,10141286920.0,73855840937.161,0.02301387277976748,0.002078961850175667
China,Aluminium,2017,GHA,50256335.0,768976000.0,10141286920.0,73855840937.161,0.004955617112152469,0.010411850846763363
China,Aluminium,2017,GIN,1452688726.0,27589160317.0,10141286920.0,73855840937.161,0.14324500800141055,0.37355421002482087
China,Aluminium,2017,GUY,410495.0,3427320.0,10141286920.0,73855840937.161,4.04776043946107e-05,4.640553755140474e-05
China,Aluminium,2017,IDN,340356826.0,2032452353.0,10141286920.0,73855840937.161,0.033561502468564416,0.027519182331554225
China,Aluminium,2017,IRN,70.0,5.0,10141286920.0,73855840937.161,6.9024770280338344e-09,6.769945256265061e-11
China,Aluminium,2017,JAM,44652921.0,426680400.0,10141286920.0,73855840937.161,0.004403082306244423,0.005777205899842558
China,Aluminium,2017,JPN,923475591.0,176666921.664,10141286920.0,73855840937.161,0.09106098646896384,0.002392050776516296
China,Aluminium,2017,KAZ,4252363.0,161144.0,10141286920.0,73855840937.161,0.00041931197031944346,2.181872116751154e-06
China,Aluminium,2017,KOR,660375975.0,117619468.465,10141286920.0,73855840937.161,0.06511757139004208,0.0015925547251580895
China,Aluminium,2017,MDG,21175.0,325000.0,10141286920.0,73855840937.161,2.087999300980235e-06,4.4004644165722895e-06
China,Aluminium,2017,MEX,6614479.0,4966929.044,10141286920.0,73855840937.161,0.0006522327049987459,6.72516754392659e-05
China,Aluminium,2017,MNG,3545068.0,2327360.0,10141286920.0,73855840937.161,0.00034956786332596926,3.1512199583242103e-05
China,Aluminium,2017,MYS,537768344.0,4992373514.759,10141286920.0,73855840937.161,0.05302762344091138,0.06759619078749204
China,Aluminium,2017,NGA,3041228.0,1905810.0,10141286920.0,73855840937.161,0.0002998858058144755,2.5804458737685034e-05
China,Aluminium,2017,NLD,67643206.0,48356803.653,10141286920.0,73855840937.161,0.006670081078822292,0.0006547458269975366
China,Aluminium,2017,NOR,6078902.0,4759981.0,10141286920.0,73855840937.161,0.0005994211630095562,6.444962158172364e-05
China,Aluminium,2017,PER,181152.0,140280.0,10141286920.0,73855840937.161,1.7862821694034076e-05,1.8993758410977257e-06
China,Aluminium,2017,PHL,110408342.0,86551227.0,10141286920.0,73855840937.161,0.01088701491940433,0.001171894137305141
China,Aluminium,2017,POL,8005.0,2750.0,10141286920.0,73855840937.161,7.893475515630121e-07,3.723469890945784e-08
China,Aluminium,2017,PRT,53388.0,41100.0,10141286920.0,73855840937.161,5.26442062246672e-06,5.564895000649881e-07
China,Aluminium,2017,RUS,72874435.0,23482386.517,10141286920.0,73855840937.161,0.007185915907406355,0.0003179489424130936
China,Aluminium,2017,SAU,2086.0,21730.0,10141286920.0,73855840937.161,2.0569381543540827e-07,2.9422182083727956e-07
China,Aluminium,2017,SVK,63666.0,513.0,10141286920.0,73855840937.161,6.277901463811459e-06,6.945963832927953e-09
China,Aluminium,2017,SWE,17527545.0,13637262.309,10141286920.0,73855840937.161,0.0017283353817189899,0.00018464703855451374
China,Aluminium,2017,THA,338823816.0,264411041.376,10141286920.0,73855840937.161,0.03341033723558232,0.003580096550535112
China,Aluminium,2017,TUR,1414430.0,1416950.0,10141286920.0,73855840937.161,0.0001394724368965985,1.9185347861729558e-05
China,Aluminium,2017,UKR,1054.0,1000.0,10141286920.0,73855840937.161,1.039315826792523e-07,1.3539890512530123e-08
China,Aluminium,2017,USA,1050768197.0,650591668.012,10141286920.0,73855840937.161,0.10361290487972902,0.008808939953246825
China,Aluminium,2017,VNM,209783693.0,895955886.0,10141286920.0,73855840937.161,0.020686101739837176,0.01213114460049692
China,Aluminium,2017,ZAF,14116177.0,6092330.0,10141286920.0,73855840937.161,0.0013919512495165654,8.248948116620264e-05
China,Aluminium,2018,AUS,1720677295.0,30136919417.0,10316657805.0,85235671696.404,0.16678631079205403,0.3535716774115765
China,Aluminium,2018,AUT,617110.0,205275.0,10316657805.0,85235671696.404,5.9816852673054225e-05,2.4083226648480828e-06
China,Aluminium,2018,BEL,108392343.0,52865590.0,10316657805.0,85235671696.404,0.010506536617650273,0.0006202284671176039
China,Aluminium,2018,BRA,102888360.0,1583160411.0,10316657805.0,85235671696.404,0.009973032152926003,0.018573918401663652
China,Aluminium,2018,CAN,205600093.0,120476540.19,10316657805.0,85235671696.404,0.019928943741873,0.0014134521121522735
China,Aluminium,2018,CHL,1482019.0,929739.0,10316657805.0,85235671696.404,0.00014365301515397117,1.0907862652993261e-05
China,Aluminium,2018,CHN,46802857.0,12003830.037,10316657805.0,85235671696.404,0.004536629777263413,0.00014083106049490342
China,Aluminium,2018,COL,4179703.0,2849224.0,10316657805.0,85235671696.404,0.0004051411880671562,3.342760071333145e-05
China,Aluminium,2018,CZE,113.0,17.36,10316657805.0,85235671696.404,1.0953159650718879e-08,2.036705953562914e-10
China,Aluminium,2018,DEU,301064569.0,104111927.357,10316657805.0,85235671696.404,0.02918237424275991,0.0012214595753739141
China,Aluminium,2018,ESP,62736.0,29072.0,10316657805.0,85235671696.404,6.081039149092917e-06,3.4107785415887694e-07
China,Aluminium,2018,FIN,2956549.0,1664550.407,10316657805.0,85235671696.404,0.0002865801169218872,1.9528800253124834e-05
China,Aluminium,2018,FRA,111522320.0,62944859.765,10316657805.0,85235671696.404,0.010809927217509372,0.0007384802455619714
China,Aluminium,2018,GBR,214469504.0,121679240.889,10316657805.0,85235671696.404,0.020788661217013196,0.0014275624098136074
China,Aluminium,2018,GHA,35354502.0,557891000.0,10316657805.0,85235671696.404,0.00342693367059876,0.006545276043428385
China,Aluminium,2018,GIN,2186749839.0,38153380000.0,10316657805.0,85235671696.404,0.21196300975885668,0.4476222131022362
China,Aluminium,2018,GRC,2175879.0,27608700.0,10316657805.0,85235671696.404,0.00021090929263404022,0.00032391015933256007
China,Aluminium,2018,GUY,184108.0,1054625.0,10316657805.0,85235671696.404,1.7845701920128774e-05,1.2373047328780462e-05
China,Aluminium,2018,IDN,417417989.0,7603626428.058,10316657805.0,85235671696.404,0.040460582961053246,0.08920709225054171
China,Aluminium,2018,JAM,73400485.0,990206800.0,10316657805.0,85235671696.404,0.007114754253497313,0.011617281594576508
China,Aluminium,2018,JPN,1087454544.0,241843604.95999998,10316657805.0,85235671696.404,0.10540763923302388,0.0028373520164351926
China,Aluminium,2018,KAZ,4914366.0,160712.0,10316657805.0,85235671696.404,0.00047635252548729857,1.885501654429741e-06
China,Aluminium,2018,KOR,803289329.0,133009618.064,10316657805.0,85235671696.404,0.07786332978987472,0.0015604924020280997
China,Aluminium,2018,MAR,84597.0,54130.0,10316657805.0,85235671696.404,8.200039353733318e-06,6.350627492301874e-07
China,Aluminium,2018,MEX,16065582.0,9650355.663,10316657805.0,85235671696.404,0.0015572467657319958,0.00011321968221677237
China,Aluminium,2018,MMR,1208.0,986.0,10316657805.0,85235671696.404,1.1709218458467616e-07,1.1567926671734062e-08
China,Aluminium,2018,MNG,4305072.0,2884270.0,10316657805.0,85235671696.404,0.0004172932825118551,3.383876659379554e-05
China,Aluminium,2018,MYS,110962740.0,598044011.537,10316657805.0,85235671696.404,0.010755686783196546,0.007016358287961151
China,Aluminium,2018,NGA,1880050.0,1230276.0,10316657805.0,85235671696.404,0.0001822344053215401,1.443381597768184e-05
China,Aluminium,2018,NLD,42303618.0,21464854.341,10316657805.0,85235671696.404,0.004100515767761282,0.00025182947366748535
China,Aluminium,2018,NOR,13896724.0,8134894.0,10316657805.0,85235671696.404,0.0013470180229555456,9.544001751960384e-05
China,Aluminium,2018,PER,356421.0,273460.0,10316657805.0,85235671696.404,3.454810722007853e-05,3.208281163947664e-06
China,Aluminium,2018,PHL,46527374.0,28739148.554,10316657805.0,85235671696.404,0.00450992704027174,0.00033717278202915216
China,Aluminium,2018,POL,21054.0,1300.0,10316657805.0,85235671696.404,2.0407771972233213e-06,1.5251830297418135e-08
China,Aluminium,2018,PRT,12440.0,810.0,10316657805.0,85235671696.404,1.205816867742857e-06,9.503063493006684e-09
China,Aluminium,2018,RUS,170813992.0,75066796.036,10316657805.0,85235671696.404,0.016557105530554138,0.0008806969493169018
China,Aluminium,2018,SVK,1938.0,7.0,10316657805.0,85235671696.404,1.878515345406477e-07,8.212524006302073e-11
China,Aluminium,2018,SWE,18035549.0,10013661.281,10316657805.0,85235671696.404,0.0017481968812864002,0.00011748204808741436
China,Aluminium,2018,THA,138917515.0,81035130.892,10316657805.0,85235671696.404,0.013465360354656059,0.0009507185111491154
China,Aluminium,2018,TUR,7450343.0,111240574.277,10316657805.0,85235671696.404,0.0007221663392178394,0.001305094123892416
China,Aluminium,2018,UKR,16312.0,16000.0,10316657805.0,85235671696.404,1.5811322143586403e-06,1.8771483442976166e-07
China,Aluminium,2018,USA,1083112580.0,581034593.679,10316657805.0,85235671696.404,0.1049867699862126,0.006816800784401083
China,Aluminium,2018,VNM,44351957.0,629936893.0,10316657805.0,85235671696.404,0.004299062529582467,0.007390531223168343
China,Aluminium,2018,ZAF,15122481.0,6443194.0,10316657805.0,85235671696.404,0.0014658314044952469,7.559269343180211e-05
China,Aluminium,2018,ZWE,45341.0,50000.0,10316657805.0,85235671696.404,4.3949310771968556e-06,5.866088575930052e-07
China,Aluminium,2019,ARG,292.0,730.0,10589835941.0,104302162746.888,2.7573609414427473e-08,6.998896099321589e-09
China,Aluminium,2019,AUS,2026111054.0,37096586165.878,10589835941.0,104302162746.888,0.19132600970291083,0.35566459207467227
China,Aluminium,2019,AUT,315261.0,124574.0,10589835941.0,104302162746.888,2.9770149580828146e-05,1.1943568255847777e-06
China,Aluminium,2019,BEL,145193664.0,83945173.055,10589835941.0,104302162746.888,0.013710662262279518,0.0008048267729472813
China,Aluminium,2019,BRA,123046031.0,1872849619.0,10589835941.0,104302162746.888,0.011619257530101146,0.017955999853472637
China,Aluminium,2019,CAN,189907435.0,131371934.385,10589835941.0,104302162746.888,0.017932991224608813,0.001259532217982888
China,Aluminium,2019,CHL,674116.0,458867.0,10589835941.0,104302162746.888,6.365688795895955e-05,4.399400625215616e-06
China,Aluminium,2019,CHN,32426815.0,10573164.116,10589835941.0,104302162746.888,0.0030620696279585547,0.00010137051656021836
China,Aluminium,2019,COD,182847.0,123423.0,10589835941.0,104302162746.888,1.726627315273911e-05,1.1833215798172172e-06
China,Aluminium,2019,COL,146477.0,90586.0,10589835941.0,104302162746.888,1.3831847897935249e-05,8.68495893223487e-07
China,Aluminium,2019,CZE,3792.0,3030.44,10589835941.0,104302162746.888,3.5807920171064714e-07,2.9054431089353587e-08
China,Aluminium,2019,DEU,273609651.0,100378158.7,10589835941.0,104302162746.888,0.025837005646204846,0.000962378497784265
China,Aluminium,2019,ESP,4339020.0,9073525.0,10589835941.0,104302162746.888,0.00040973439288146947,8.699268319122866e-05
China,Aluminium,2019,FIN,793543.0,535243.984,10589835941.0,104302162746.888,7.493439977929116e-05,5.131667166853353e-06
China,Aluminium,2019,FRA,140489396.0,80134015.83399999,10589835941.0,104302162746.888,0.013266437438948045,0.0007682871929363794
China,Aluminium,2019,GBR,182153632.0,120979041.629,10589835941.0,104302162746.888,0.017200798295162183,0.0011598900582970853
China,Aluminium,2019,GHA,18061565.0,286289360.0,10589835941.0,104302162746.888,0.0017055566394633347,0.0027448075136729784
China,Aluminium,2019,GIN,2455006047.0,44404590000.0,10589835941.0,104302162746.888,0.23182663647272456,0.4257302900588691
