mineral,year,rp_ratio,rp_log,byproduct_frac,hhi_mining,hhi_processing,hhi_bottleneck,import_reliance,hhi_wgi,export_restriction_score,enduse_hhi,risk_weighted,n_substitutes,avg_performance_penalty,eu_substitution_index_ei,eu_substitution_index_sr,eol_rir,rp_log_norm,byproduct_frac_norm,hhi_bottleneck_norm,hhi_mining_norm,hhi_processing_norm,import_reliance_norm,hhi_wgi_norm,export_restriction_score_norm,risk_weighted_norm,enduse_hhi_norm,eu_substitution_index_sr_norm,avg_performance_penalty_norm,eol_rir_norm,D1,D2,D3,D4,CMVI,CMVI_rank
Nickel,2017,40.7519618555677,3.7317464407453627,0.0,0.11178080931465349,0.3933612678138735,0.3933612678138735,0.48,0.21689332907686426,0.3890682427734181,0.588498355862346,0.04680683156766332,2,0.0799999999999999,0.88,0.92,0.16,0.6425987790825285,0.0,0.27041752318243983,0.0,0.10431064462039905,0.1875,0.30140347697885345,0.530183275567994,0.19180610802053744,0.2766585611036585,0.724137931034483,0.2758620689655169,0.7090909090909091,0.44686922216845804,0.24968814238682988,0.3147594790428122,0.44416464027591457,0.35340711638430705,16
Nickel,2018,36.65848871442591,3.6285583926953198,0.0,0.16548269821381967,0.3933612678138735,0.3933612678138735,0.48,0.21539905012364224,0.4775269872423945,0.588498355862346,0.05017030973830553,2,0.0799999999999999,0.88,0.92,0.16,0.5997446848758092,0.0,0.2795178271591337,0.0,0.08453930370055664,0.1875,0.29507276810570704,0.6036814136248553,0.2564098399330517,0.2766585611036585,0.724137931034483,0.2758620689655169,0.7090909090909091,0.43020374108806725,0.2565133703693503,0.3567597582164319,0.44416464027591457,0.36364364983645386,15
Nickel,2019,34.69086488364015,3.5748947704289633,0.0,0.19510848114304868,0.3933612678138735,0.3933612678138735,0.48,0.21406844479829867,0.5303924973949288,0.588498355862346,0.0441099459404307,2,0.0799999999999999,0.88,0.92,0.16,0.601068340506912,0.0,0.2831412477663359,0.037508633640511574,0.1062480696156428,0.1875,0.29799560122536445,0.6708419863934577,0.22456487729295557,0.2766585611036585,0.724137931034483,0.2758620689655169,0.7090909090909091,0.4307184960557183,0.25923093582475193,0.3618349079444242,0.44416464027591457,0.3660022022074135,15
Nickel,2020,35.28861446346711,3.5915040409278407,0.0,0.19761968960564877,0.3933612678138735,0.3933612678138735,0.48,0.21189941665463158,0.5362522219103751,0.588498355862346,0.05200441357860106,2,0.0799999999999999,0.88,0.92,0.16,0.5836201471754134,0.0,0.24348071521594528,0.053929303468132204,0.09786441214951785,0.1875,0.28394346014751787,0.6656668350364773,0.20743359470846434,0.2766585611036585,0.724137931034483,0.2758620689655169,0.7090909090909091,0.42393308753791337,0.22948553641195896,0.34877035769413633,0.44416464027591457,0.3503757539773041,14
Nickel,2021,35.28861446346711,3.5915040409278407,0.0,0.19761968960564877,0.3933612678138735,0.3933612678138735,0.48,0.2112065227975113,0.5518757601272336,0.588498355862346,0.04498832801088346,2,0.0799999999999999,0.88,0.92,0.16,0.5836201471754134,0.0,0.24348071521594528,0.053929303468132204,0.08813100423087142,0.1875,0.282102844083498,0.9413850777241909,0.23704298736751273,0.2766585611036585,0.724137931034483,0.2758620689655169,0.7090909090909091,0.42393308753791337,0.22948553641195896,0.4288994598072771,0.44416464027591457,0.36896742766001844,14
Nickel,2022,22.13550071887562,3.1413682654735977,0.0,0.38374114278538085,0.3933612678138735,0.3933612678138735,0.48,0.2147783396800288,0.47554355799419035,0.588498355862346,0.028140536367770898,2,0.0799999999999999,0.88,0.92,0.16,0.8506980098198661,0.0,0.2630400235861583,0.2507823578311044,0.0,0.1875,0.28538114845166945,0.781975729297347,0.1392351745437404,0.2766585611036585,0.724137931034483,0.2758620689655169,0.7090909090909091,0.5277967007885338,0.24415501768961873,0.3510714040999172,0.44416464027591457,0.3765025662865137,15
Nickel,2023,35.82934773040697,3.606295020020671,0.0,0.38374114278538085,0.3933612678138735,0.3933612678138735,0.48,0.20961487036261095,0.47554355799419035,0.588498355862346,0.030677784755924607,2,0.0799999999999999,0.88,0.92,0.16,0.3812446889405814,0.0,0.2630400235861583,0.2507823578311044,0.0,0.1875,0.2793029716785462,0.573959193356719,0.18002014972456545,0.2766585611036585,0.724137931034483,0.2758620689655169,0.7090909090909091,0.3452315204465898,0.24415501768961873,0.3132538983164971,0.44416464027591457,0.3290820092087125,16
Copper,2015,37.3134328358209,3.6458005614801743,0.0,0.19181302491004135,0.5103646102160551,0.5103646102160551,0.45,0.29563858010972793,0.36802827965435975,0.4311100926755777,0.03839328946297223,3,0.29,0.7,0.71,0.55,0.6046868136730887,0.0,0.40290425884840053,0.07472557336940923,0.3218600205144524,0.14062500000000003,0.44550933464147346,0.49512890496806905,0.16382990667458616,0.0,0.0,1.0,0.0,0.23515598309509006,0.3373344441363004,0.34524245603636744,0.37499999999999994,0.3183413447633746,18
Copper,2016,33.42932264930512,3.538908603886656,0.0,0.17937854566443726,0.5103646102160551,0.5103646102160551,0.45,0.29185665857548737,0.3698635282333792,0.4311100926755777,0.04224196042005759,3,0.29,0.7,0.71,0.55,0.6594326364859268,0.0,0.40673487680419873,0.085468026157403,0.3142643830371769,0.14062500000000003,0.43639124618437836,0.5217717630435171,0.1642593373628611,0.0,0.0,1.0,0.0,0.25644602530008265,0.34020740760314905,0.34888361187055617,0.37499999999999994,0.3268608410382479,16
Copper,2017,39.15337189347232,3.6927064192692436,0.0,0.18081565544072195,0.5103646102160551,0.5103646102160551,0.45,0.27697445011290117,0.4248522214453696,0.4311100926755777,0.04274974656878324,3,0.29,0.7,0.71,0.55,0.6509274353450962,0.0,0.4180071446056788,0.08027632318768234,0.29218712054881885,0.14062500000000003,0.4319860657434943,0.578946101569702,0.16079161271080367,0.0,0.0,1.0,0.0,0.2531384470786485,0.3486616084542591,0.36024829348696996,0.37499999999999994,0.33044475294258,17
Copper,2018,38.657957244655584,3.680291615074655,0.0,0.17265696142540385,0.5103646102160551,0.5103646102160551,0.45,0.27819291243255523,0.45228028503562945,0.4311100926755777,0.04107122393408551,3,0.29,0.7,0.71,0.55,0.5890222356121297,0.0,0.4252665183771746,0.008898163804812974,0.2765629427431625,0.14062500000000003,0.4311025717260283,0.5717649664193085,0.1777210196960565,0.0,0.0,1.0,0.0,0.22906420273805045,0.35410613878288094,0.3649155495873596,0.37499999999999994,0.3245850997651375,18
Copper,2019,38.873761659231796,3.6857185050549197,0.0,0.16484263733894816,0.5103646102160551,0.5103646102160551,0.45,0.27566403107603293,0.4055269103759921,0.4311100926755777,0.0452820997566769,3,0.29,0.7,0.71,0.55,0.5763637113140359,0.0,0.42815694539877586,0.0,0.2937181584654445,0.14062500000000003,0.4329008670154194,0.5129116256900381,0.23424205831997813,0.0,0.0,1.0,0.0,0.22414144328879174,0.3562739590490819,0.3734400332058976,0.37499999999999994,0.32519180765809697,17
Copper,2020,39.275231429216525,3.695736675271644,0.0,0.153491809330945,0.5103646102160551,0.5103646102160551,0.45,0.2801556326670855,0.4428200496726123,0.4311100926755777,0.046302262579024624,3,0.29,0.7,0.71,0.55,0.5606175065966261,0.0,0.3965194714751345,0.0,0.2870930258837188,0.14062500000000003,0.4316506004362665,0.5496865260644628,0.1710342066700908,0.0,0.0,1.0,0.0,0.21801791923202127,0.33254585360635086,0.3569130243368453,0.37499999999999994,0.3138588274377542,17
Copper,2021,39.275231429216525,3.695736675271644,0.0,0.153491809330945,0.5103646102160551,0.5103646102160551,0.45,0.27829208515894155,0.4066945134341838,0.4311100926755777,0.03826640763528261,3,0.29,0.7,0.71,0.55,0.5606175065966261,0.0,0.3965194714751345,0.0,0.27940126149644384,0.14062500000000003,0.42895714772717436,0.6937361156267754,0.1788871397708213,0.0,0.0,1.0,0.0,0.21801791923202127,0.33254585360635086,0.39512388651953345,0.37499999999999994,0.3219415792191831,17
Copper,2022,29105.66385007948,10.278722425227997,0.0,0.2782858836334835,0.5103646102160551,0.5103646102160551,0.45,0.2812418555460989,0.469526478708274,0.4311100926755777,0.0830334606730528,3,0.29,0.7,0.71,0.55,0.10894232482758215,0.0,0.4121220634912868,0.11641452841432959,0.2097562897225636,0.14062500000000003,0.42946347559972714,0.7720813465773063,0.6340419128052461,0.0,0.0,1.0,0.0,0.042366459655170836,0.34424779761846513,0.5969493182263295,0.37499999999999994,0.23903721383660348,19
Copper,2023,33.359825985108344,3.53688803264189,0.0,0.2782858836334835,0.5103646102160551,0.5103646102160551,0.45,0.2781880503362415,0.5058353551409688,0.4311100926755777,0.08369782226567946,3,0.29,0.7,0.71,0.55,0.39335085534279224,0.0,0.4121220634912868,0.11641452841432959,0.2097562897225636,0.14062500000000003,0.4296790776731123,0.6105199986991872,0.6448277271963339,0.0,0.0,1.0,0.0,0.15296977707775253,0.34424779761846513,0.5609487677389196,0.37499999999999994,0.3244201476222887,17
Manganese,2015,40.76296868500802,3.7320100302480492,0.0,0.19903674957944797,,0.19903674957944797,1.0,0.09815414226110239,0.35526769267336145,0.6330354789670318,0.03572767518965279,0,0.0,1.0,1.0,0.09,0.5883624093106883,0.0,0.0,0.08329544750351932,,1.0,0.05457026392805182,0.47796137788404913,0.13845879388746105,0.3549463326588806,1.0,0.0,0.8363636363636364,0.4611308359440556,0.25,0.19397345440081484,0.4637365831647201,0.3191129713182501,17
Manganese,2016,45.33618214595713,3.835923127736989,0.0,0.19404748940697297,,0.19404748940697297,1.0,0.09436529742482229,0.3415637310542833,0.6330354789670318,0.04326736317575839,0,0.0,1.0,1.0,0.09,0.6002481729098125,0.0,0.0,0.10239857708319623,,1.0,0.033571495692618754,0.4818488348801496,0.1726061656045515,0.3549463326588806,1.0,0.0,0.8363636363636364,0.46575307734371496,0.25,0.20125469845427457,0.4637365831647201,0.32287043729587556,17
