mineral,year,rp_ratio,rp_log,byproduct_frac,hhi_mining,hhi_processing,hhi_bottleneck,hhi_import_intermediate,hhi_import_raw,hhi_export_raw,hhi_export_intermediate,hhi_import,bottleneck_stage,import_reliance,hhi_wgi,export_restriction_score,risk_weighted,enduse_hhi,n_substitutes,avg_performance_penalty,eu_substitution_index_ei,eu_substitution_index_sr,eol_rir,rp_log_norm,byproduct_frac_norm,hhi_bottleneck_norm,hhi_mining_norm,hhi_processing_norm,hhi_import_raw_norm,hhi_import_intermediate_norm,hhi_export_raw_norm,hhi_export_intermediate_norm,import_reliance_norm,hhi_wgi_norm,export_restriction_score_norm,risk_weighted_norm,enduse_hhi_norm,eu_substitution_index_sr_norm,avg_performance_penalty_norm,eol_rir_norm,D1,D2,D3,D4,CMVI,CMVI_rank,consumer
Rare Earths,2015,932.7066800215733,6.83916234181962,0.0,0.6658301457306192,0.8886298412636232,0.3105701433702898,0.3105701433702898,,,0.2550127024098811,0.3105701433702898,import_intermediate,0.19100084752292168,0.13960635845703656,0.6538408197858079,0.08050439994033216,,1,0.02,0.94,0.98,0.01,0.0,0.0,0.15798779315365666,0.63707633405798,0.9037909616621344,,0.33460265837926084,,0.35306663973985963,0.1792762221247032,0.09993981960704201,0.8085058603109337,0.5461062008012576,,0.9310344827586207,0.06896551724137932,0.9818181818181818,0.27272727272727276,0.1633099003964183,0.4555478822607012,0.49999999999999994,0.31736664440020323,18,China
Rare Earths,2016,941.2222049447986,6.8482411331128406,0.0,0.6811072533641267,0.8886298412636232,0.4541721706074569,0.4541721706074569,,,0.3648237008716823,0.45417217060745696,import_intermediate,0.1836417353444254,0.2086537253159057,0.33688384388120046,0.07033807938864149,,1,0.02,0.94,0.98,0.01,0.0,0.0,0.4057679095888428,0.6645515365815577,0.902713353794499,,0.9543786860579492,,0.5294105762656528,0.17181045614651858,0.4804947882347607,0.3391869567260445,0.5989627082176064,,0.9310344827586207,0.06896551724137932,0.9818181818181818,0.27272727272727276,0.3472785462282617,0.49255499835072,0.49999999999999994,0.39080293331394717,12,China
Rare Earths,2017,847.8524814084079,6.743885415511377,0.0,0.6564939044804435,0.8886298412636232,0.4460074536367078,0.4460074536367078,,,0.2556387554761102,0.44600745363670785,import_intermediate,0.20321748368492942,0.2872748414449983,0.32797086052511765,0.04687516344139952,,1,0.02,0.94,0.98,0.01,0.0,0.0,0.3086984974928571,0.6334129345669625,0.8995812096098295,,0.4984624517532439,,0.3130414927152247,0.19166991098471106,0.2780998953923662,0.41242425141479694,0.5230136295417738,,0.9310344827586207,0.06896551724137932,0.9818181818181818,0.27272727272727276,0.2794413508658206,0.4096464780577369,0.49999999999999994,0.3534676054817061,14,China
Rare Earths,2018,679.0602055800293,6.522181331868619,0.0,0.5239993289647038,0.8886298412636232,0.3899318262920563,0.3899318262920563,,,0.2140502379912247,0.38993182629205625,import_intermediate,0.2951541850220264,0.2195475639453059,0.29433186490455215,0.0952681067904315,,1,0.02,0.94,0.98,0.01,0.0,0.0,0.2323836043589954,0.44466443634517644,0.8973645771047788,,0.34489586001832584,,0.24074485995508865,0.2849390282832152,0.19250325754615702,0.36397002773289533,1.0,,0.9310344827586207,0.06896551724137932,0.9818181818181818,0.27272727272727276,0.24552246034005037,0.5583686470743788,0.49999999999999994,0.36976662250239184,12,China
Rare Earths,2019,528.1422888756802,6.271257372771131,0.0,0.4028623630999399,0.8886298412636232,0.5495884826538552,0.5495884826538552,,,0.26310146591201056,0.5495884826538552,import_intermediate,0.3964610671665676,0.3805046845516714,0.25400758995930683,0.01632669359859404,,1,0.02,0.94,0.98,0.01,0.0,0.0,0.4454769335818982,0.2949792099163118,0.8997984209379819,,0.5427880743242967,,0.2840204701781708,0.38771412611101064,0.4251837518108315,0.31297615515353805,0.16157989092048577,,0.9310344827586207,0.06896551724137932,0.9818181818181818,0.27272727272727276,0.4310362317141763,0.29169030829036985,0.49999999999999994,0.36185417489543625,11,China
Rare Earths,2020,509.8528209321341,6.236081527058271,0.0,0.377081008658654,0.8886298412636232,0.5836056828584144,0.5836056828584144,,,0.27131625473243765,0.5836056828584144,import_intermediate,0.42763695829926407,0.4157340469381896,0.23806214227309896,0.02300693235065046,,1,0.02,0.94,0.98,0.01,0.0,0.0,0.4729418367101351,0.2732515069311624,0.8988585004881772,,0.5805955106761255,,0.29642788346985716,0.41934184175287664,0.44511997822322114,0.2938795934781196,0.10877536623079079,,0.9310344827586207,0.06896551724137932,0.9818181818181818,0.27272727272727276,0.45954183797082054,0.2727720372399736,0.49999999999999994,0.3615812231294013,13,China
Rare Earths,2021,509.8528209321341,6.236081527058271,0.0,0.377081008658654,0.8886298412636232,0.5841573839675449,0.5841573839675449,,,0.2548789230155059,0.5841573839675449,import_intermediate,0.42763695829926407,0.4723870722152479,0.23806214227309896,0.05878268177085055,,1,0.02,0.94,0.98,0.01,0.0,0.0,0.4686243232782522,0.2732515069311624,0.8977672549087873,,0.5812314839141899,,0.2802380321318932,0.41934184175287664,0.5410635781076535,0.40418926659700444,0.4629274573855847,,0.9310344827586207,0.06896551724137932,0.9818181818181818,0.27272727272727276,0.4563037028969083,0.47559055194116373,0.49999999999999994,0.41475959939654894,9,China
Rare Earths,2022,332.87067930068065,5.810753730277667,0.0,0.491189424022054,0.8886298412636232,0.3441442490405094,0.3441442490405094,,,0.21529376132343708,0.3441442490405094,import_intermediate,0.3193647404243961,0.2618368272544811,0.3228773521953824,0.05141403112907478,,1,0.02,0.94,0.98,0.01,0.573279823803674,0.0,0.18302107449569738,0.38768963434292913,0.8977672549087873,,0.31189924937958036,,0.19422321993827985,0.30950046130011205,0.2372432210552698,0.5270122177667059,0.4823701376742409,,0.9310344827586207,0.06896551724137932,0.9818181818181818,0.4956694264287016,0.21464092119680106,0.40773623688071725,0.49999999999999994,0.38376334642537907,14,China
Rare Earths,2023,238.581342586414,5.478892994204396,0.0,0.491189424022054,0.8886298412636232,0.4644145089476378,0.4644145089476378,,,0.312852515008996,0.46441450894763786,import_intermediate,0.3193647404243961,0.3851888495188544,0.3268810890164153,0.023015429819799555,,1,0.02,0.94,0.98,0.01,0.05462076336674804,0.0,0.3387487383912516,0.38768963434292913,0.8977672549087873,,0.43713164581255065,,0.33390053321504526,0.30950046130011205,0.41099671917546965,0.3128700283648259,0.1951458818229335,,0.9310344827586207,0.06896551724137932,0.9818181818181818,0.29396868070323035,0.3314366691184667,0.30012471153179426,0.49999999999999994,0.34773094817088257,13,China
Platinum,2015,359.7663222805214,5.888230442037289,0.0,0.5862140508057356,,0.4966978519937027,0.4966978519937027,,,0.14180934934719722,0.454276582677154,import_intermediate,1.0,0.2416477128115304,0.4249472602369232,0.03945794938308403,,1,0.05,0.96,0.95,0.12,0.18006603073903893,0.0,0.39409342035202455,0.5426236875658956,,,0.571648462397108,,0.10926805910256003,1.0,0.23861109756793217,0.496413523866401,0.26329291090570944,,0.8275862068965516,0.1724137931034483,0.7818181818181819,0.2871973957924545,0.5455700652640184,0.31293442947766026,0.4999999999999999,0.3956977634928555,11,China
